pl_radj,pl_bmassj,pl_orbper,pl_eqt,pl_pnum,st_mass
-0.08338159,3.0421386,8.900618,7.6377163,1,-2.5257287
-1.7719568,-3.672219,-0.30579308,7.5770426,5,-0.09431065
-1.469676,-2.65926,3.7301533,6.304046,1,0.5128236
0.39877614,0.029558774,0.41141784,7.548556,1,-0.051293306
-0.030459179,1.011601,2.583288,6.3969297,1,-0.11653382
0.3576744,0.84586823,1.0967205,7.412764,1,0.23901688
0.36464316,-0.08664781,1.0395846,7.2737865,1,0.07696108
-0.12216765,0.26849926,1.3950534,7.4383836,1,0.08617772
0.08617772,2.0281482,0.4135259,7.5766096,1,0.12221763
0.15700372,-0.62548846,1.6775208,7.0860157,1,0.0953102
0.019802611,0.8878913,1.3265709,7.3938785,1,0.03922068
0.2700271,1.2441546,0.6418904,7.34601,1,-0.051293306
0.2546422,0.10436003,1.3602403,7.6009026,1,0.1906204
0.3825376,1.2441546,0.55560404,7.34411,1,-0.040822014
-0.83240926,-3.2701693,2.2778804,6.785588,1,0.0953102
0.04879012,1.0296195,1.2895907,7.4145727,1,0.13102825
-0.82098055,-2.4304185,2.464619,6.7452364,2,-0.09431065
0.07696108,-1.3093333,1.5811805,7.192934,1,0.08617772
0.23111172,-0.6539265,1.4362125,7.377759,1,0.08617772
0.006975583,2.340844,1.2740546,7.3132205,1,0.04879012
-0.04604396,-0.7256704,1.6502938,7.217989,1,0.009950322
-0.105360545,-0.1625189,1.047519,7.1057963,1,-0.030459179
0.009950322,3.075467,1.4485178,7.437537,1,0.31481075
0.17395337,-0.32850403,2.2194264,6.9791455,1,0.14841996
0.32786387,-0.761426,1.3957238,7.2710085,1,0
0.1535791,1.0851893,2.1845436,6.9246125,1,0.04879012
-1.89712,-4.6051702,-0.15830427,7.498099,2,-0.19845094
-0.56211895,-1.5141277,1.8265295,6.749533,1,-0.12783337
0.063913316,-0.17435342,4.5567427,6.0402546,1,-0.040822014
-0.56211895,-1.89712,1.9048456,6.84375,1,0.07696108
-0.6051363,-2.4656925,2.9700108,6.786717,1,0.16551441
-1.3704209,-3.9271367,0.45768085,6.356246,1,-1.89712
-1.0613165,-3.1465552,1.2049669,6.403574,1,-0.67334455
-1.9310216,-4.53192,0.1897772,7.066467,3,-0.4942963
-2.1803675,-4.878292,1.2942019,6.698268,3,-0.4942963
-1.6873994,-4.112916,1.824786,6.522093,3,-0.4942963
0.2768739,-0.6443571,1.4963363,7.186901,1,0.13976191
-0.041864213,-1.5558972,1.1672237,6.8700533,1,-0.31471074
0.24059042,-0.16134313,1.0702986,7.407063,2,0.19885089
0.35065687,1.2354715,1.5320535,7.3558187,1,0.97455966
0.058268856,0.662688,2.3854084,6.798171,1,0
0.25386673,1.4334165,1.0209966,7.3938785,1,0.19885089
0.04879012,-0.5447272,2.3358767,6.653326,2,-0.010050326
-0.005012537,-1.6245515,1.7062057,6.7475867,1,-0.26136482
0.12398595,-1.2310015,1.3884865,6.9177055,1,-0.17435342
0.18232161,2.4362416,1.7287257,7.2830315,1,0.65752
-0.14271632,1.9804496,1.056163,6.877296,1,-0.27443686
0.10436003,1.5830939,1.4169399,7.1502085,1,0.21511139
0.13976191,0.9042182,1.1669623,7.153349,1,0.12221763
0.08617772,0.29266965,0.1929977,7.6242857,1,-0.5447272
0.2623642,-0.2876821,1.2105234,7.3995776,1,0.31481075
0.17395337,-0.56739604,1.2955039,7.091742,1,0.009950322
-0.46203548,-2.65926,1.44327,6.8979473,1,0.11332869
0.019802611,-0.4780358,1.1117184,7.097208,1,-0.061875407
0.19227189,-0.46840495,1.1808726,7.2327332,1,0.019802611
0.15700372,-0.12783337,1.7445264,7.1363435,1,0.37156355
-0.061875407,-0.43078297,1.0646073,7.054,1,0.058268856
0.36464316,-0.1863296,1.033398,7.401131,1,0.4382549
0.08617772,0.8197798,1.6105213,7.227783,1,0.2700271
0.5596158,-0.1863296,0.76547253,7.4855757,1,0.08617772
0.6151857,-0.08338159,1.2454419,7.482056,1,0.59883654
0.30010462,1.9473377,1.6961018,7.1724296,1,1.4492692
1.2669476,2.0175662,1.2938254,7.3623333,1,3.1595504
0.13976191,0.42526773,0.28318447,7.5050554,1,-0.2484614
0.16381806,0.15614872,1.0287032,7.147559,1,-0.07257069
-0.1923719,-1.3205067,1.5347967,6.9865665,1,-0.11653382
0.45171237,-0.5124937,1.2652193,7.4685135,1,0.33647224
0.41871032,-0.7339692,1.4945297,7.4756875,1,0.029558774
0.7178398,0.17395337,0.99104565,7.5690794,1,0.9400072
0.24686004,0.04305952,1.535119,7.26403,1,0.16551441
0.24764103,-0.41248974,1.2037789,7.215975,1,0.04879012
0.21672297,-1.0441241,1.4588984,7.010312,2,-0.061875407
0.35487333,-0.114289135,1.140711,7.409742,1,0.23111172
0.24998024,-0.7072461,1.4958501,7.284821,1,0.24686004
0.46373403,0.7884574,0.9901172,7.6606975,1,0.7975072
0.1906204,-0.020202687,1.0255003,7.3358064,1,0.03922068
0.2530906,0.30010462,1.1384773,7.5294065,1,0.23901688
0.25696507,-1.174414,1.4393677,7.083388,1,-0.020202687
0.008959685,-0.20089293,1.0129075,7.1049657,1,-0.11653382
0.27611542,0.39474115,0.67377275,7.4832444,1,0.08617772
-0.057629105,-0.27443686,1.3349608,6.7068624,1,-0.43078297
0.16720794,-0.5412848,1.2768273,7.18007,1,0.009950322
0.41210964,0.8372475,1.026339,7.5164223,1,0.35065687
0.5538851,0.3435897,0.90231353,7.524756,1,1.0188473
0.3920421,0.27763176,1.3488469,7.419517,1,0.5822156
0.63657683,-0.6405547,0.9576074,7.565275,1,0.1906204
0.46373403,-0.24462257,1.089264,7.5475016,1,0.22314355
0.73476887,-1.0788096,1.5707184,7.551187,1,0.49469626
0.41210964,0.6097656,0.7906096,7.7059426,1,0.4446858
0.33647224,0.24686004,1.1237406,7.4781127,1,0.23901688
0.33647224,-0.2484614,1.3668286,7.333023,1,0.24686004
0.26390156,0.6178847,1.2373474,7.2145042,1,-0.010050326
-0.031490684,-0.642454,1.1978077,7.249215,1,0.0953102
0.39676064,-0.1863296,1.286243,7.3977256,1,0
0.32497782,0.8712934,1.1451252,7.6483145,1,0.39877614
0.19227189,-0.610646,1.1131889,7.126087,1,-0.040822014
0.03825875,0.06859278,1.0176785,7.1514854,1,-0.030459179
0.09984535,0.7747272,0.5581791,7.3165483,1,-0.13926208
0.2623642,1.18479,0.98824,7.3727465,1,-0.030459179
-0.2523149,0.291176,2.7883766,6.7019606,1,0.12221763
0.2904283,0.6830969,-0.17692405,7.630461,1,0.03922068
0.15529287,0.29639402,0.3031614,7.36328,1,-0.12783337
-0.048140366,1.0079579,1.5524044,6.7546043,1,-0.27443686
0.6205765,0.3852624,0.7703469,7.410952,1,0.11332869
0.39676064,0.89199805,0.29898944,7.6338534,1,0.1906204
0.23111172,-0.48939037,1.4582994,7.152269,1,-0.010050326
0.5596158,-0.43078297,1.1946459,7.559038,1,0.2623642
0.4054651,-0.63487834,1.5340759,7.4139705,1,0.35065687
0.177309,-0.39749694,1.1572202,7.133296,1,-0.07257069
0.22394328,-0.4261782,1.5273327,7.100027,1,0.029558774
-0.010050326,-0.597837,1.2663418,7.4057703,1,-0.82098055
0.1612681,-0.3481401,1.1551034,7.254178,1,0.08617772
0.49469626,-0.12783337,1.2172719,7.508239,1,0.23901688
0.22234319,-0.08338159,1.0341288,7.270313,1,0.0953102
0.20701419,0.17563261,0.93591887,7.2647305,1,0.058268856
0.3576744,-0.060812157,0.74486667,7.2758646,1,-0.051293306
0.3811724,0.20048887,0.5993854,7.6192336,1,0.27763176
0.211071,1.1681384,1.4291716,7.2122946,1,0.19885089
0.45107567,-0.46203548,1.5211824,7.4054956,1,0.32208347
0.019802611,0.27990186,0.9229601,7.181592,1,0
0.45742488,0.46373403,1.1830373,7.650169,1,0.4446858
0.28517896,2.272126,1.4335712,7.4442487,1,0.4054651
